Field List Worksheet,,,,,,,,
,This worksheet is a list of the fields in the content model with notes discussion the intention of each field.,,,,,,,
Interchange content element group,Interchange content element,Alias,DataTypeName,Implementation,Cardinality,Element Description,XPath In USGIN ISO metadata,NDGS bulk upload comparison field
Required basic fields; other required fields are in pink in their respective sections.,title,title,free text,string,1,Succinct (preferably <250 characters ) name of the resource,/gmd:MD_Metadata//gmd:citation//gmd:title/gco:CharacterString,title
,description,description,free text,string,1,"Free text description of the resource, including information about content format and media, lineage, quality, access, as well as a summary of the intellectual content of the resource. Inform the reader about the resource's content as well as its context. Among other things, if a temporal extent for the resource is specified, the description should indicate what the temporal extent of the resource represents.  All strings are converted to XML-safe values. All formatting is lost and HTML tags are printed instead of being interpreted.",/gmd:MD_Metadata//gmd:abstract/gco:CharacterString,notes
,publication_date,publication_date,date,ISO8601 dateTime,1,Date on which the resource became available.,"/gmd:MD_Metadata//gmd:citation//gco:DateTime ; also requires dateTypeCode=""publication"", codeList=""http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_DateTypeCode"", codeListValue=""publication""",publication_date
"Intellectual Originator: at least one of individual, organization, or position name is required",originator_contact_person_name,author_person_name,free text,string,at least one of these elements must have a valid value,The name of the primary person(s) responsible for creating the resource. List multiple originators separated using a | (pipe) symbol to delimit the originators.  Originator affiliation is assumed to be the originator contact organization (above),gmd:MD_Metadata/gmd:identificationInfo//gmd:citation//gmd:citedResponsibleParty//gmd:individualName/gco:CharacterString,author
,originator_contact_org_name,author_organization_name,free text,string,,The name of the primary organization responsible for creating the resource,gmd:MD_Metadata/gmd:identificationInfo//gmd:citation//gmd:citedResponsibleParty//gmd:organisationName/gco:CharacterString,
,originator_contact_email,author_email,free text,string,at least one of these elements must have a valid value,"Note that to conform to the USGIN metadata recommendations, an ISO metadata contact element must be present with at least one of either phone or e-mail address. Use 'missing' for e-mail if neither is available.",//gmd:MD_DataIdentification//gmd:citation//gmd:citedResponsibleParty//gmd:contactInfo//gmd:electronicMailAddress/gco:CharacterString,
,originator_contact_phone,author_phone,free text,string,,Voice telephone number.,//gmd:MD_DataIdentification//gmd:citation//gmd:citedResponsibleParty//gmd:contactInfo//gmd:voice/gco:CharacterString,
Keywords,resource_url,resource_url,URI,http URL,1,"A URL pointing to a useful representation of the resource.  Some resources may have multiple URLs, either linking to parts of the resource (e.g. a text document report and a separate tiff scan of an associated map), or possibly to different representations of the resource (.doc, .pdf, .txt).  Multiple URLs should be separated with a pipe character ('|'). Text included in square brackets preceding the URL will be included as a  label for the URL to distinguish multiple URLs. E.g. [full report] http://resource.usgin.org/repository/ofr200109.pdf | [appendix 1] http://resoruce.usgin.org/repository/ofr200109A1.pdf | [map] http://resoruce.usgin.org/repository/ofr200109plate1.pdf",//gmd:MD_Distribution/gmd:transferOptions//gmd:linkage/gmd:URL  .  Label text goes into associated //gmd:MD_Distribution/gmd:transferOptions//gmd:CI_OnlineResource/gmd:name/gco:CharacterString,resource-0-url
